Judul Film|Genre|Durasi|Harga|Sinopsis|Jadwal|Sutradara|Pemeran|Usia Minimal
Avengers: Endgame|Action|181|75000|Setelah peristiwa yang menghancurkan setengah dari semua kehidupan di alam semesta, Avengers yang tersisa harus bersatu kembali untuk membatalkan tindakan Thanos dan memulihkan keseimbangan.|14:00,17:00,20:00|Russo Brothers|Robert Downey Jr., Chris Evans, Mark Ruffalo|13
Spider-Man: No Way Home|Action|148|65000|Peter Parker meminta bantuan Doctor Strange untuk membuat identitasnya sebagai Spider-Man terlupakan, namun mantra tersebut membuka multiverse dan membebaskan penjahat dari universe lain.|13:00,16:00,19:00|Jon Watts|Tom Holland, Zendaya, Benedict Cumberbatch|13
The Batman : Darknight|Action|176|70000|Batman menyelidiki korupsi di Gotham City dan menghadapi serial killer misterius yang dikenal sebagai Riddler.|12:00,15:00,18:00|Matt Reeves|Robert Pattinson, Zoë Kravitz, Paul Dano|13
John Wick: Chapter 4|Action|169|70000|John Wick menemukan jalan untuk mengalahkan The High Table, namun sebelum dia bisa mendapatkan kebebasannya, dia harus menghadapi musuh baru.|15:00,18:00,21:00|Chad Stahelski|Keanu Reeves, Donnie Yen, Bill Skarsgård|17
Dune: Part Two|Sci-Fi|166|72000|Paul Atreides bersatu dengan Fremen dan memulai perjalanan balas dendam melawan para konspirator yang menghancurkan keluarganya.|14:30,17:30,20:30|Denis Villeneuve|Timothée Chalamet, Zendaya, Rebecca Ferguson|13
Inception|Sci-Fi|148|70000|Seorang pencuri berbakat menggunakan teknologi berbagi mimpi untuk melakukan penanaman ide ke dalam pikiran target, namun masa lalunya yang kelam mengancam kesuksesan misi.|13:00,16:00,19:00|Christopher Nolan|Leonardo DiCaprio, Ellen Page|13
The Matrix|Sci-Fi|136|68000|Seorang programmer komputer menemukan bahwa realitas yang dia kenal adalah simulasi yang diciptakan oleh mesin, dan bergabung dengan pemberontak untuk membebaskan umat manusia.|15:00,18:00,21:00|Wachowski Sisters|Keanu Reeves, Carrie-Anne Moss|13
Joker|Drama|122|65000|Kisah asal-usul musuh bebuyutan Batman, mengikuti transformasi Arthur Fleck yang terasing menjadi penjahat ikonik Gotham City.|14:00,17:00,20:00|Todd Phillips|Joaquin Phoenix, Robert De Niro|17
The Godfather|Drama|175|68000|Kisah epik keluarga mafia Corleone dan transformasi Michael Corleone dari seorang prajurit yang enggan menjadi bos kejahatan yang kejam.|13:30,16:30,19:30|Francis Ford Coppola|Marlon Brando, Al Pacino|17
Forrest Gump|Drama|142|65000|Kisah hidup Forrest Gump, pria dengan IQ rendah yang tanpa sengaja menjadi bagian dari peristiwa bersejarah Amerika.|15:30,18:30,21:30|Robert Zemeckis|Tom Hanks, Robin Wright|13
The Shawshank Redemption|Drama|142|65000|Seorang bankir yang dipenjara atas pembunuhan yang tidak dia lakukan, membangun persahabatan yang kuat dan menemukan harapan di balik jeruji besi.|16:00,19:00,22:00|Frank Darabont|Tim Robbins, Morgan Freeman|13
Oppenheimer|Biography|180|68000|Kisah J. Robert Oppenheimer, fisikawan yang memimpin Proyek Manhattan dalam pengembangan bom atom pertama.|13:30,16:30,19:30|Christopher Nolan|Cillian Murphy, Emily Blunt, Matt Damon|17
Bohemian Rhapsody|Biography|134|68000|Kisah perjalanan band legendaris Queen dan vokalis ikoniknya Freddie Mercury, dari awal karir hingga penampilan bersejarah di konser Live Aid.|14:00,17:30,21:00|Bryan Singer|Rami Malek, Lucy Boynton|13
The Theory of Everything|Biography|123|65000|Kisah hidup fisikawan teoretis Stephen Hawking, dari diagnosis penyakitnya hingga terobosan ilmiahnya.|15:00,18:00,21:00|James Marsh|Eddie Redmayne, Felicity Jones|13
